,frame_id,time,data,dlc,flags,msg_name,msg_comment,signals
626,37,4761,bytearray(b'\x00\x03 \x03\xd0&\x00I'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 4.5, 'deg']]"
627,37,4771,bytearray(b'\x00\x03 \x03\x10#\x00\x86'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 4.5, 'deg']]"
628,37,4781,bytearray(b'\x00\x03 \x03P#\x00\xc6'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 4.5, 'deg']]"
629,37,4791,bytearray(b'\x00\x04 \x03\x90#\x00\x07'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
630,705,4792,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
631,37,4801,bytearray(b'\x00\x04 \x03\xc0&\x00:'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
632,37,4811,bytearray(b'\x00\x04 \x03\x00#\x00w'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
633,37,4821,bytearray(b'\x00\x04 \x030\x1d\x00\xa1'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
634,705,4824,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
635,37,4831,bytearray(b'\x00\x04 \x03P\x1d\x00\xc1'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
636,37,4841,bytearray(b'\x00\x04 \x03p\x17\x00\xdb'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
637,37,4851,bytearray(b'\x00\x05 \x03\xa0\x17\x00\x0c'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
638,705,4855,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
639,37,4861,bytearray(b'\x00\x05 \x03\xb0\x13\x00\x18'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
640,37,4871,bytearray(b'\x00\x05 \x03\xd0\x10\x005'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
641,37,4881,bytearray(b'\x00\x05 \x03\xd0\x10\x005'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
642,705,4887,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
643,37,4891,bytearray(b'\x00\x05 \x03\xf0\x10\x00U'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
644,37,4901,bytearray(b'\x00\x05 \x03\xf0\r\x00R'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
645,37,4911,bytearray(b'\x00\x05 \x03\xf0\n\x00O'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
646,705,4919,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
647,37,4921,bytearray(b'\x00\x05 \x03\xf0\x08\x00M'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
648,37,4931,bytearray(b'\x00\x05 \x03\xf0\x07\x00L'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
649,37,4941,bytearray(b'\x00\x05 \x03\xf0\x06\x00K'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
650,705,4951,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
651,37,4951,bytearray(b'\x00\x05 \x03\xf0\x05\x00J'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
652,37,4961,bytearray(b'\x00\x05 \x03\xf0\x05\x00J'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
653,37,4971,bytearray(b'\x00\x05 \x03\xf0\x04\x00I'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
654,37,4981,bytearray(b'\x00\x05 \x03\xf0\x04\x00I'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
655,705,4982,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
656,37,4991,bytearray(b'\x00\x05 \x03\xf0\x03\x00H'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
657,37,5001,bytearray(b'\x00\x05 \x03\xf0\x03\x00H'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
658,37,5011,bytearray(b'\x00\x05 \x03\xf0\x03\x00H'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
659,705,5014,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
660,37,5021,bytearray(b'\x00\x05 \x03\xf0\x03\x00H'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
661,37,5031,bytearray(b'\x00\x05 \x03\xf0\x03\x00H'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
662,37,5041,bytearray(b'\x00\x05 \x03\xf0\x02\x00G'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
663,705,5046,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
664,37,5051,bytearray(b'\x00\x05 \x03\xf0\x02\x00G'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
