,time,frame_id,msg_name,signals
752,4950,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 6.42578125, 'km/h']]"
753,4951,705,ENG1S01,"[['EACCP', 8.0, '%']]"
754,4954,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -475.5, 'deg']]"
755,4964,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -475.5, 'deg']]"
756,4974,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -475.5, 'deg']]"
757,4983,705,ENG1S01,"[['EACCP', 8.5, '%']]"
758,4984,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -475.5, 'deg']]"
759,4994,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -475.5, 'deg']]"
760,4998,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 6.5625, 'km/h']]"
761,5004,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -475.5, 'deg']]"
762,5014,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -475.5, 'deg']]"
763,5014,705,ENG1S01,"[['EACCP', 9.0, '%']]"
764,5024,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
765,5034,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
766,5044,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
767,5046,705,ENG1S01,"[['EACCP', 10.0, '%']]"
768,5047,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 6.6640625, 'km/h']]"
769,5054,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
770,5064,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
771,5074,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
772,5078,705,ENG1S01,"[['EACCP', 11.0, '%']]"
773,5084,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
774,5094,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
775,5094,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 6.7421875, 'km/h']]"
776,5104,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
777,5110,705,ENG1S01,"[['EACCP', 13.0, '%']]"
778,5114,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
779,5124,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
780,5134,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
781,5141,705,ENG1S01,"[['EACCP', 15.0, '%']]"
782,5142,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 6.80078125, 'km/h']]"
783,5144,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
784,5154,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
785,5164,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
786,5174,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
787,5174,705,ENG1S01,"[['EACCP', 15.5, '%']]"
788,5185,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
789,5191,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 6.88671875, 'km/h']]"
790,5194,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
791,5204,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
792,5205,705,ENG1S01,"[['EACCP', 15.5, '%']]"
793,5214,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -472.5, 'deg']]"
794,5225,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -472.5, 'deg']]"
795,5234,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -472.5, 'deg']]"
796,5237,705,ENG1S01,"[['EACCP', 15.5, '%']]"
797,5239,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 6.953125, 'km/h']]"
798,5244,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -472.5, 'deg']]"
799,5254,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -472.5, 'deg']]"
800,5264,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -472.5, 'deg']]"
801,5268,705,ENG1S01,"[['EACCP', 15.5, '%']]"
802,5274,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -471.0, 'deg']]"
803,5284,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -471.0, 'deg']]"
804,5287,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 7.0, 'km/h']]"
805,5294,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -471.0, 'deg']]"
806,5300,705,ENG1S01,"[['EACCP', 15.5, '%']]"
807,5304,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -471.0, 'deg']]"
808,5314,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -469.5, 'deg']]"
809,5324,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -469.5, 'deg']]"
810,5332,705,ENG1S01,"[['EACCP', 15.5, '%']]"
811,5334,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -469.5, 'deg']]"
812,5335,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 7.03515625, 'km/h']]"
813,5345,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -468.0, 'deg']]"
